date,target
2021-05-23,542.81
2021-05-24,822.83
2021-05-25,786.04
2021-05-26,822.63
2021-05-27,812.95
2021-05-28,826.32
2021-05-29,721.81
2021-05-30,674.92
2021-05-31,810.89
2021-06-01,784.32
2021-06-02,767.08
2021-06-03,835.61
2021-06-04,847.61
2021-06-05,776.41
2021-06-06,687.67
2021-06-07,884.95
2021-06-08,826.34
2021-06-09,801.48
2021-06-10,810.83
2021-06-11,805.74
2021-06-12,784.5
2021-06-13,616.79
2021-06-14,852.0
2021-06-15,773.24
2021-06-16,881.97
2021-06-17,845.23
2021-06-18,794.49
2021-06-19,621.41
2021-06-20,582.36
2021-06-21,788.47
2021-06-22,758.97
2021-06-23,728.73
2021-06-24,724.58
2021-06-25,789.67
2021-06-26,694.44
2021-06-27,618.29
2021-06-28,755.7
2021-06-29,804.88
2021-06-30,879.41
2021-07-01,823.8
2021-07-02,778.79
2021-07-03,419.22
2021-07-04,659.05
2021-07-05,872.92
2021-07-06,824.24
2021-07-07,762.65
2021-07-08,755.04
2021-07-09,905.8
2021-07-10,734.48
2021-07-11,627.0
2021-07-12,1249.54
2021-07-13,882.55
2021-07-14,750.72
2021-07-15,756.9
2021-07-16,821.27
2021-07-17,585.03
2021-07-18,601.06
2021-07-19,737.46
2021-07-20,784.31
2021-07-21,854.32
2021-07-22,779.51
2021-07-23,794.12
2021-07-24,472.26
2021-07-25,583.29
2021-07-26,691.63
2021-07-27,697.51
2021-07-28,734.65
2021-07-29,769.13
2021-07-30,828.39
2021-07-31,536.87
2021-08-01,611.66
2021-08-02,738.74
2021-08-03,776.07
2021-08-04,868.58
2021-08-05,847.23
2021-08-06,880.1
2021-08-07,627.06
2021-08-08,598.82
2021-08-09,775.27
2021-08-10,823.87
2021-08-11,833.22
2021-08-12,761.41
2021-08-13,808.27
2021-08-14,638.5
2021-08-15,760.17
2021-08-16,870.52
2021-08-17,739.49
2021-08-18,781.03
2021-08-19,712.72
2021-08-20,743.24
2021-08-21,617.48
2021-08-22,665.34
2021-08-23,708.89
2021-08-24,737.62
2021-08-25,672.25
2021-08-26,784.7
2021-08-27,724.97
2021-08-28,585.91
2021-08-29,572.62
2021-08-30,771.96
2021-08-31,710.55
2021-09-01,742.47
2021-09-02,946.9
2021-09-03,750.9
2021-09-04,593.91
2021-09-05,760.7
2021-09-06,974.11
2021-09-07,777.15
2021-09-08,838.6
2021-09-09,879.33
2021-09-10,941.73
2021-09-11,618.49
2021-09-12,658.0
2021-09-13,862.18
2021-09-14,864.18
2021-09-15,831.03
2021-09-16,841.07
2021-09-17,755.04
2021-09-18,641.05
2021-09-19,636.99
2021-09-20,812.56
2021-09-21,791.76
2021-09-22,862.74
2021-09-23,893.54
2021-09-24,834.01
2021-09-25,674.56
2021-09-26,662.47
2021-09-27,814.85
2021-09-28,804.81
2021-09-29,883.24
2021-09-30,867.76
2021-10-01,981.23
2021-10-02,786.68
2021-10-03,728.71
2021-10-04,822.44
2021-10-05,833.04
2021-10-06,979.77
2021-10-07,933.29
2021-10-08,934.28
2021-10-09,640.9
2021-10-10,789.29
2021-10-11,913.68
2021-10-12,850.6
2021-10-13,898.95
2021-10-14,937.43
2021-10-15,908.91
2021-10-16,713.85
2021-10-17,721.65
2021-10-18,861.14
2021-10-19,905.02
2021-10-20,990.86
2021-10-21,768.35
2021-10-22,882.51
2021-10-23,733.33
2021-10-24,742.6
2021-10-25,859.65
2021-10-26,811.83
2021-10-27,946.8
2021-10-28,1030.37
2021-10-29,843.72
2021-10-30,809.79
2021-10-31,752.14
2021-11-01,1099.57
2021-11-02,1076.48
2021-11-03,1138.23
2021-11-04,1235.39
2021-11-05,1188.03
2021-11-06,1083.56
2021-11-07,1057.9
2021-11-08,1171.11
2021-11-09,1269.12
2021-11-10,1213.52
2021-11-11,1235.51
2021-11-12,1158.78
2021-11-13,1004.07
2021-11-14,960.23
2021-11-15,1200.74
2021-11-16,1102.51
2021-11-17,1222.36
2021-11-18,1166.55
2021-11-19,1225.06
2021-11-20,1027.2
2021-11-21,1085.6
2021-11-22,1176.16
2021-11-23,1074.55
2021-11-24,1174.46
2021-11-25,1117.36
2021-11-26,1143.49
2021-11-27,1087.23
2021-11-28,1045.6
2021-11-29,1129.15
2021-11-30,1142.83
2021-12-01,1042.6
2021-12-02,981.56
2021-12-03,1004.45
2021-12-04,891.97
2021-12-05,944.65
2021-12-06,1070.05
2021-12-07,938.55
2021-12-08,1099.28
2021-12-09,1088.83
2021-12-10,1094.31
2021-12-11,987.08
2021-12-12,783.89
2021-12-13,1013.2
2021-12-14,1099.39
2021-12-15,991.64
2021-12-16,1156.75
2021-12-17,1078.23
2021-12-18,928.14
2021-12-19,847.71
2021-12-20,1072.02
2021-12-21,1108.47
2021-12-22,1076.89
2021-12-23,1077.84
2021-12-24,1067.19
2021-12-25,834.3
2021-12-26,877.64
2021-12-27,1032.26
2021-12-28,1090.91
2021-12-29,1145.62
2021-12-30,1039.1
2021-12-31,1082.79
2022-01-01,999.29
2022-01-02,883.72
2022-01-03,1035.94
2022-01-04,1121.87
2022-01-05,1177.11
2022-01-06,1135.84
2022-01-07,1197.33
2022-01-08,1000.33
2022-01-09,1000.87
2022-01-10,1135.28
2022-01-11,1255.49
2022-01-12,1128.89
2022-01-13,1027.3
2022-01-14,1207.84
2022-01-15,917.08
2022-01-16,944.08
2022-01-17,1156.03
2022-01-18,1015.43
2022-01-19,1045.69
2022-01-20,1023.5
2022-01-21,1051.18
2022-01-22,944.25
2022-01-23,948.63
2022-01-24,1085.76
2022-01-25,1018.19
2022-01-26,986.18
2022-01-27,1119.94
2022-01-28,1080.96
2022-01-29,963.75
2022-01-30,982.59
2022-01-31,1107.26
2022-02-01,1165.41
2022-02-02,1156.34
2022-02-03,1178.21
2022-02-04,1100.61
2022-02-05,960.14
2022-02-06,984.14
2022-02-07,1170.76
2022-02-08,1128.73
2022-02-09,1193.68
2022-02-10,1149.38
2022-02-11,1140.9
2022-02-12,1016.39
2022-02-13,857.21
2022-02-14,1040.9
2022-02-15,1049.08
2022-02-16,1011.41
2022-02-17,1097.04
2022-02-18,1155.8
2022-02-19,920.57
2022-02-20,942.9
2022-02-21,1138.47
2022-02-22,1172.55
2022-02-23,1108.71
2022-02-24,1186.47
2022-02-25,1103.1
2022-02-26,880.02
2022-02-27,895.84
2022-02-28,1000.34
2022-03-01,1070.44
2022-03-02,1118.59
2022-03-03,1186.69
2022-03-04,1226.33
2022-03-05,885.2
2022-03-06,985.03
2022-03-07,1057.41
2022-03-08,1164.4
2022-03-09,1144.63
2022-03-10,1049.04
2022-03-11,1183.09
2022-03-12,921.09
2022-03-13,920.0
2022-03-14,1034.86
2022-03-15,1075.07
2022-03-16,1142.71
2022-03-17,1102.32
2022-03-18,1110.03
2022-03-19,932.51
2022-03-20,980.02
2022-03-21,1034.09
2022-03-22,991.71
2022-03-23,1143.65
2022-03-24,1065.27
2022-03-25,1129.88
2022-03-26,916.77
2022-03-27,890.01
2022-03-28,1068.73
2022-03-29,1183.3
2022-03-30,1208.12
2022-03-31,1101.27
2022-04-01,1090.07
2022-04-02,970.46
2022-04-03,868.02
2022-04-04,1085.65
2022-04-05,1091.55
2022-04-06,1126.08
2022-04-07,1063.31
2022-04-08,1006.47
2022-04-09,804.54
2022-04-10,854.17
2022-04-11,1036.41
2022-04-12,1064.07
2022-04-13,1195.49
2022-04-14,1143.34
2022-04-15,1008.16
2022-04-16,899.55
2022-04-17,850.89
2022-04-18,1000.7
2022-04-19,1043.54
2022-04-20,1076.05
2022-04-21,1018.27
2022-04-22,1076.77
2022-04-23,778.83
2022-04-24,839.95
2022-04-25,1131.53
2022-04-26,1024.51
2022-04-27,1106.62
2022-04-28,1034.65
2022-04-29,1049.49
2022-04-30,843.82
2022-05-01,840.69
2022-05-02,1397.45
2022-05-03,1053.26
2022-05-04,999.73
2022-05-05,1084.98
2022-05-06,1094.52
2022-05-07,881.53
2022-05-08,844.63
2022-05-09,1033.26
2022-05-10,1011.67
2022-05-11,1090.43
2022-05-12,933.11
2022-05-13,994.9
2022-05-14,723.77
2022-05-15,744.01
2022-05-16,1044.01
2022-05-17,1034.51
2022-05-18,953.24
2022-05-19,903.62
2022-05-20,802.79
2022-05-21,757.36
2022-05-22,916.26
2022-05-23,953.99
2022-05-24,920.84
2022-05-25,990.86
2022-05-26,879.62
2022-05-27,935.73
2022-05-28,786.02
2022-05-29,778.45
2022-05-30,979.77
2022-05-31,982.08
2022-06-01,1012.57
2022-06-02,941.33
2022-06-03,1017.2
2022-06-04,886.65
2022-06-05,745.81
2022-06-06,901.68
2022-06-07,1047.88
2022-06-08,977.81
2022-06-09,1063.86
2022-06-10,945.04
2022-06-11,872.14
2022-06-12,794.67
2022-06-13,946.17
2022-06-14,1035.46
2022-06-15,937.53
2022-06-16,898.97
2022-06-17,904.85
2022-06-18,774.47
2022-06-19,657.53
2022-06-20,923.43
2022-06-21,877.82
2022-06-22,981.65
2022-06-23,784.45
2022-06-24,857.07
2022-06-25,633.92
2022-06-26,682.15
2022-06-27,893.11
2022-06-28,895.88
2022-06-29,909.75
2022-06-30,918.82
2022-07-01,928.39
2022-07-02,692.41
2022-07-03,790.76
2022-07-04,941.91
2022-07-05,953.14
2022-07-06,979.31
2022-07-07,966.29
2022-07-08,1047.68
2022-07-09,756.69
2022-07-10,742.79
2022-07-11,865.43
2022-07-12,869.89
2022-07-13,868.26
2022-07-14,882.73
2022-07-15,907.69
2022-07-16,750.76
2022-07-17,729.54
2022-07-18,829.24
2022-07-19,939.47
2022-07-20,940.94
2022-07-21,888.13
2022-07-22,844.09
2022-07-23,735.35
2022-07-24,715.35
2022-07-25,776.32
2022-07-26,877.78
2022-07-27,913.48
2022-07-28,853.46
2022-07-29,903.42
2022-07-30,644.49
2022-07-31,803.31
2022-08-01,948.61
2022-08-02,894.99
2022-08-03,948.61
2022-08-04,800.89
2022-08-05,859.51
2022-08-06,736.87
2022-08-07,696.59
2022-08-08,946.39
2022-08-09,1040.95
2022-08-10,880.35
2022-08-11,897.45
2022-08-12,939.47
2022-08-13,838.39
2022-08-14,678.72
2022-08-15,905.41
2022-08-16,1010.97
2022-08-17,830.1
2022-08-18,846.38
2022-08-19,875.38
2022-08-20,693.59
2022-08-21,764.82
2022-08-22,882.31
2022-08-23,794.88
2022-08-24,936.48
2022-08-25,878.59
2022-08-26,969.22
2022-08-27,695.38
2022-08-28,700.02
2022-08-29,920.61
2022-08-30,962.62
2022-08-31,966.4
2022-09-01,850.45
2022-09-02,964.85
2022-09-03,711.31
2022-09-04,787.18
2022-09-05,851.36
2022-09-06,982.39
2022-09-07,931.75
2022-09-08,908.31
2022-09-09,1005.27
2022-09-10,806.43
2022-09-11,759.0
2022-09-12,1021.3
2022-09-13,938.7
2022-09-14,976.56
2022-09-15,986.5
2022-09-16,919.82
2022-09-17,803.06
2022-09-18,744.81
2022-09-19,899.0
2022-09-20,1018.25
2022-09-21,899.6
2022-09-22,824.1
2022-09-23,1031.91
2022-09-24,912.16
2022-09-25,752.92
2022-09-26,823.02
2022-09-27,941.28
2022-09-28,963.29
2022-09-29,975.39
2022-09-30,917.35
2022-10-01,844.47
2022-10-02,848.99
2022-10-03,895.3
2022-10-04,1046.38
2022-10-05,1141.65
2022-10-06,1043.72
2022-10-07,1005.76
2022-10-08,846.55
2022-10-09,890.7
2022-10-10,913.1
2022-10-11,1041.24
2022-10-12,1024.73
2022-10-13,1146.51
2022-10-14,1018.82
2022-10-15,944.24
2022-10-16,789.21
2022-10-17,1029.64
2022-10-18,1036.08
2022-10-19,983.36
2022-10-20,1039.68
2022-10-21,1081.68
2022-10-22,824.22
2022-10-23,750.57
2022-10-24,995.35
2022-10-25,973.98
2022-10-26,1024.15
2022-10-27,1044.28
2022-10-28,947.03
2022-10-29,785.71
2022-10-30,908.79
2022-10-31,1011.45
2022-11-01,1105.39
2022-11-02,1312.08
2022-11-03,1291.6
2022-11-04,1230.1
2022-11-05,1030.04
2022-11-06,1154.25
2022-11-07,1282.36
2022-11-08,1421.52
2022-11-09,1330.85
2022-11-10,1330.7
2022-11-11,1286.26
2022-11-12,1166.5
2022-11-13,1154.79
2022-11-14,1337.43
2022-11-15,1261.15
2022-11-16,1277.9
2022-11-17,1272.98
2022-11-18,1326.0
2022-11-19,1189.54
2022-11-20,1080.66
2022-11-21,1232.11
2022-11-22,1296.76
2022-11-23,1282.03
2022-11-24,1350.51
2022-11-25,1163.44
2022-11-26,1073.01
2022-11-27,1081.08
2022-11-28,1152.92
2022-11-29,1258.1
2022-11-30,1282.78
2022-12-01,1149.74
2022-12-02,1215.15
2022-12-03,974.37
2022-12-04,938.11
2022-12-05,1147.97
2022-12-06,1237.78
2022-12-07,1145.43
2022-12-08,683.39
2022-12-09,1221.05
2022-12-10,1005.85
2022-12-11,1053.8
2022-12-12,1166.61
2022-12-13,1227.81
2022-12-14,1144.49
2022-12-15,1197.96
2022-12-16,1169.46
2022-12-17,937.58
2022-12-18,915.59
2022-12-19,1186.83
2022-12-20,1151.47
2022-12-21,1128.01
2022-12-22,1178.8
2022-12-23,1232.45
2022-12-24,873.37
2022-12-25,919.47
2022-12-26,1105.0
2022-12-27,1264.52
2022-12-28,1219.9
2022-12-29,1252.83
2022-12-30,1140.08
2022-12-31,974.58
2023-01-01,1062.44
2023-01-02,1197.82
2023-01-03,1254.86
2023-01-04,1234.95
2023-01-05,1265.97
2023-01-06,1249.37
2023-01-07,1113.5
2023-01-08,1117.59
2023-01-09,1135.47
2023-01-10,1124.71
2023-01-11,1317.1
2023-01-12,1325.5
2023-01-13,1186.83
2023-01-14,963.81
2023-01-15,1067.7
2023-01-16,1259.34
2023-01-17,1326.38
2023-01-18,1266.48
2023-01-19,1214.08
2023-01-20,1167.92
2023-01-21,1041.98
2023-01-22,1023.61
2023-01-23,1133.97
2023-01-24,1326.76
2023-01-25,1328.6
2023-01-26,1295.72
2023-01-27,1171.77
2023-01-28,1100.42
2023-01-29,1093.66
2023-01-30,1238.32
2023-01-31,1311.9
2023-02-01,1293.08
2023-02-02,1304.43
2023-02-03,1289.56
2023-02-04,1104.6
2023-02-05,991.92
2023-02-06,1247.92
2023-02-07,1238.56
2023-02-08,1214.52
2023-02-09,1377.52
2023-02-10,1364.56
2023-02-11,1168.61
2023-02-12,1104.81
2023-02-13,1311.11
2023-02-14,1256.38
2023-02-15,1276.29
2023-02-16,1199.62
2023-02-17,1261.64
2023-02-18,1064.39
2023-02-19,984.6
2023-02-20,1483.32
2023-02-21,1217.69
2023-02-22,1332.93
2023-02-23,1281.7
2023-02-24,1218.12
2023-02-25,1058.21
2023-02-26,1048.51
2023-02-27,1187.37
2023-02-28,1165.75
2023-03-01,1245.51
2023-03-02,1217.25
2023-03-03,1179.19
2023-03-04,1106.29
2023-03-05,1102.74
2023-03-06,1135.15
2023-03-07,1251.4
2023-03-08,1327.58
2023-03-09,1330.1
2023-03-10,1311.63
2023-03-11,1080.66
2023-03-12,1027.89
2023-03-13,1159.77
2023-03-14,1256.16
2023-03-15,1266.44
2023-03-16,1309.98
2023-03-17,1278.7
2023-03-18,1031.17
2023-03-19,964.18
2023-03-20,1159.84
2023-03-21,1208.41
2023-03-22,1196.35
2023-03-23,1173.17
2023-03-24,1202.88
2023-03-25,987.35
2023-03-26,981.14
2023-03-27,1184.35
2023-03-28,1170.95
2023-03-29,1223.95
2023-03-30,1228.91
2023-03-31,1140.25
2023-04-01,1001.28
2023-04-02,780.3
2023-04-03,1120.62
2023-04-04,1094.43
2023-04-05,1125.11
2023-04-06,1230.41
2023-04-07,1216.32
2023-04-08,1033.92
2023-04-09,1105.34
2023-04-10,1038.62
2023-04-11,1226.92
2023-04-12,1300.61
2023-04-13,1146.92
2023-04-14,1167.09
2023-04-15,966.16
2023-04-16,951.24
2023-04-17,1125.33
2023-04-18,1238.36
2023-04-19,1268.93
2023-04-20,1143.52
2023-04-21,1247.17
2023-04-22,966.7
2023-04-23,1058.09
2023-04-24,1104.47
2023-04-25,1139.37
2023-04-26,1166.88
2023-04-27,1322.63
2023-04-28,1181.91
2023-04-29,925.14
2023-04-30,1020.24
2023-05-01,1100.17
2023-05-02,1119.76
2023-05-03,1214.1
2023-05-04,1168.28
2023-05-05,1169.16
2023-05-06,982.09
2023-05-07,999.88
2023-05-08,1153.75
2023-05-09,1045.27
2023-05-10,1199.84
2023-05-11,1104.97
2023-05-12,1059.98
2023-05-13,956.64
2023-05-14,957.88
2023-05-15,1058.1
2023-05-16,1158.22
2023-05-17,1045.99
2023-05-18,1090.42
2023-05-19,1059.56
2023-05-20,909.76
2023-05-21,922.59
2023-05-22,997.7
2023-05-23,1113.42
2023-05-24,1089.61
2023-05-25,981.23
2023-05-26,963.22
2023-05-27,897.9
2023-05-28,888.4
2023-05-29,1047.5
2023-05-30,1078.25
2023-05-31,1110.06
2023-06-01,1147.94
2023-06-02,1023.55
2023-06-03,849.85
2023-06-04,856.92
2023-06-05,1085.06
2023-06-06,1162.48
2023-06-07,1085.22
2023-06-08,970.74
2023-06-09,998.4
2023-06-10,870.05
2023-06-11,881.44
2023-06-12,692.89
2023-06-13,1077.6
2023-06-14,1066.78
2023-06-15,1135.14
2023-06-16,1019.02
2023-06-17,828.59
2023-06-18,895.93
2023-06-19,929.19
2023-06-20,1053.32
2023-06-21,1047.62
2023-06-22,1030.42
2023-06-23,1108.96
2023-06-24,812.6
2023-06-25,959.99
2023-06-26,985.19
2023-06-27,952.76
2023-06-28,1044.11
2023-06-29,984.49
2023-06-30,991.7
2023-07-01,885.53
2023-07-02,898.44
2023-07-03,987.66
2023-07-04,1103.29
2023-07-05,1130.15
2023-07-06,1147.69
2023-07-07,1084.58
2023-07-08,957.23
2023-07-09,778.04
2023-07-10,1012.19
2023-07-11,1002.7
2023-07-12,1067.75
2023-07-13,1025.27
2023-07-14,1027.94
2023-07-15,961.59
2023-07-16,843.04
2023-07-17,1019.49
2023-07-18,1002.08
2023-07-19,1028.65
2023-07-20,1020.6
2023-07-21,1027.03
2023-07-22,890.58
2023-07-23,915.79
2023-07-24,992.04
2023-07-25,1031.91
2023-07-26,952.75
2023-07-27,1014.24
2023-07-28,1060.13
2023-07-29,887.09
2023-07-30,856.15
2023-07-31,1048.57
2023-08-01,1050.48
2023-08-02,1109.43
2023-08-03,1064.54
2023-08-04,1019.34
2023-08-05,888.07
2023-08-06,711.85
2023-08-07,1046.62
2023-08-08,849.94
2023-08-09,970.83
2023-08-10,1089.91
2023-08-11,1075.25
2023-08-12,809.08
2023-08-13,830.61
2023-08-14,1091.33
2023-08-15,1008.6
2023-08-16,1168.69
2023-08-17,1040.85
2023-08-18,1044.75
2023-08-19,934.09
2023-08-20,849.43
2023-08-21,935.0
2023-08-22,1006.49
2023-08-23,1025.07
2023-08-24,953.07
2023-08-25,1001.75
2023-08-26,804.79
2023-08-27,900.73
2023-08-28,1006.93
2023-08-29,1018.81
2023-08-30,1049.35
2023-08-31,1074.02
2023-09-01,1082.55
2023-09-02,826.77
2023-09-03,830.91
2023-09-04,1104.99
2023-09-05,1050.5
2023-09-06,1014.44
2023-09-07,1120.52
2023-09-08,1109.81
2023-09-09,828.31
2023-09-10,925.76
2023-09-11,1103.23
2023-09-12,1489.88
2023-09-13,1132.23
2023-09-14,1017.56
2023-09-15,1095.39
2023-09-16,883.75
2023-09-17,870.59
2023-09-18,1092.03
2023-09-19,1146.51
2023-09-20,1176.52
2023-09-21,1149.14
2023-09-22,1056.24
2023-09-23,909.2
2023-09-24,934.12
2023-09-25,1051.88
2023-09-26,1080.25
2023-09-27,1138.2
2023-09-28,1095.77
2023-09-29,1051.2
2023-09-30,902.27
2023-10-01,967.46
2023-10-02,1090.31
2023-10-03,1139.71
2023-10-04,1179.31
2023-10-05,1128.14
2023-10-06,1181.32
2023-10-07,991.64
2023-10-08,906.45
2023-10-09,1206.18
2023-10-10,1124.25
2023-10-11,1075.7
2023-10-12,1108.72
2023-10-13,1094.19
2023-10-14,977.76
2023-10-15,957.45
2023-10-16,1101.39
2023-10-17,1174.93
2023-10-18,1171.73
2023-10-19,1168.54
2023-10-20,1157.94
2023-10-21,995.37
2023-10-22,846.09
2023-10-23,1093.58
2023-10-24,1019.92
2023-10-25,1160.13
2023-10-26,1162.72
2023-10-27,1211.74
2023-10-28,1052.65
2023-10-29,1005.73
2023-10-30,1124.75
2023-10-31,1210.4
2023-11-01,1351.95
2023-11-02,1388.84
2023-11-03,1436.33
2023-11-04,1185.17
2023-11-05,1266.78
2023-11-06,1415.54
2023-11-07,1354.14
2023-11-08,1478.57
2023-11-09,1466.16
2023-11-10,1420.45
2023-11-11,1200.0
2023-11-12,1194.32
2023-11-13,1360.83
2023-11-14,1441.94
2023-11-15,1371.8
2023-11-16,1445.91
2023-11-17,1336.51
2023-11-18,1217.77
2023-11-19,1233.16
2023-11-20,1510.38
2023-11-21,1323.23
2023-11-22,1494.98
2023-11-23,1423.79
2023-11-24,1426.23
2023-11-25,1240.29
2023-11-26,1262.94
2023-11-27,1385.66
2023-11-28,1504.02
2023-11-29,1420.53
2023-11-30,1515.38
2023-12-01,1230.83
2023-12-02,1097.11
2023-12-03,1048.89
2023-12-04,1289.84
2023-12-05,1374.1
2023-12-06,1310.36
2023-12-07,1308.28
2023-12-08,1246.7
2023-12-09,1124.21
2023-12-10,1050.43
2023-12-11,1237.98
2023-12-12,1323.35
2023-12-13,1396.3
2023-12-14,1475.93
2023-12-15,1271.83
2023-12-16,1206.48
2023-12-17,1137.86
2023-12-18,1263.26
2023-12-19,1316.42
2023-12-20,1308.71
2023-12-21,1310.31
2023-12-22,1267.1
2023-12-23,1040.0
2023-12-24,1033.91
2023-12-25,1307.71
2023-12-26,1284.05
2023-12-27,1285.9
2023-12-28,1324.82
2023-12-29,1359.82
2023-12-30,1159.2
2023-12-31,1120.07
